Node,ConnectiveRedundancyWeighted
345,0.000000
346,0.000000
347,0.000000
348,0.000000
349,0.000000
350,0.000000
351,0.166667
352,0.111111
353,0.000000
354,0.000000
355,0.000000
356,0.000000
357,0.125000
358,0.083333
359,0.000000
360,0.000000
361,0.000000
362,0.000000
363,0.000000
364,0.000000
365,0.000000
366,0.000000
367,0.000000
368,0.000000
369,0.000000
370,0.000000
371,0.000000
372,0.000000
373,0.000000
374,0.000000
375,0.000000
376,0.000000
377,0.000000
378,0.000000
379,0.000000
380,0.000000
381,0.000000
382,0.000000
383,0.090909
384,0.000000
385,0.000000
386,0.000000
387,0.000000
388,0.000000
389,0.000000
390,0.000000
391,0.000000
392,0.000000
393,0.000000
394,0.000000
395,0.000000
396,0.000000
397,0.000000
398,0.000000
399,0.000000
400,0.000000
401,0.000000
402,0.000000
403,0.000000
404,0.000000
405,0.000000
406,0.000000
407,0.000000
408,0.000000
409,0.000000
410,0.000000
411,0.000000
412,0.000000
413,0.000000
414,0.000000
415,0.000000
416,0.000000
417,0.000000
418,0.000000
419,0.000000
420,0.000000
421,0.000000
422,0.000000
423,0.000000
424,0.000000
425,0.000000
426,0.000000
427,0.000000
428,0.000000
429,0.000000
430,0.000000
431,0.000000
432,0.000000
433,0.000000
434,0.000000
435,0.000000
436,0.000000
437,0.000000
438,0.000000
439,0.000000
440,0.000000
441,0.000000
442,0.000000
443,0.000000
444,0.000000
445,0.000000
446,0.000000
447,0.000000
448,0.000000
449,0.000000
